,order_number,order_date,customer_name,channel,product_name,order_quantity,unit_price,revenue,total_unit_cost,state,county,state_name,region,lat,lon,budget,total_cost,profit,profit_margin_pct,order_month,month_name
46363,SO - 0002544,2017-01-01,NCS Group,Wholesale,Product 30,6,1239.5,7437.0,1028.7849999999999,NJ,Hudson County,New Jersey,Northeast,40.77955,-74.02375,1011609.684,6172.709999999999,1264.2900000000009,17.00000000000001,2017-01,1
46364,SO - 0006431,2017-01-01,Epic Group,Wholesale,Product 13,5,1829.1000000000001,9145.5,1207.2060000000001,CO,Mesa County,Colorado,West,39.06387,-108.55065,3720639.645,6036.030000000001,3109.4699999999993,33.99999999999999,2017-01,1
46365,SO - 0007491,2017-01-01,State Ltd,Wholesale,Product 15,9,2412.0,21708.0,1664.28,CA,Los Angeles County,California,West,33.96168,-118.35313,3299478.315,14978.52,6729.48,31.0,2017-01,1
46366,SO - 0008741,2017-01-01,Fivebridge Ltd,Wholesale,Product 8,8,904.5,7236.0,750.735,IA,Dubuque County,Iowa,Midwest,42.50056,-90.66457,1085037.3290000001,6005.88,1230.12,17.0,2017-01,1
46367,SO - 0009295,2017-01-01,Tagfeed Ltd,Wholesale,Product 2,12,1112.2,13346.400000000001,811.9060000000001,FL,Hernando County,Florida,South,28.47689,-82.52546,3050087.565,9742.872000000001,3603.5280000000002,26.999999999999996,2017-01,1
46368,SO - 0009270,2017-01-01,Rhynoodle Ltd,Wholesale,Product 2,11,3865.9,42524.9,2087.5860000000002,PA,Erie County,Pennsylvania,Northeast,42.12922,-80.08506,3050087.565,22963.446000000004,19561.453999999998,45.99999999999999,2017-01,1
46369,SO - 0008849,2017-01-01,Twinte Group,Wholesale,Product 23,9,187.6,1688.3999999999999,116.312,CA,Monterey County,California,West,36.67774,-121.6555,1135815.7580000001,1046.808,641.5919999999999,37.99999999999999,2017-01,1
46370,SO - 0010564,2017-01-01,Accord Group,Distributor,Product 3,8,944.7,7557.6,651.843,TX,Johnson County/Tarrant County/Ellis County,Texas,South,32.56919,-97.12053,2642352.432,5214.744,2342.8560000000007,31.000000000000007,2017-01,1
46371,SO - 0008694,2017-01-01,Blogspan Ltd,Distributor,Product 2,5,1085.4,5427.0,672.9480000000001,TN,Rutherford County,Tennessee,South,35.84562,-86.39027,3050087.565,3364.7400000000007,2062.2599999999993,37.999999999999986,2017-01,1
46372,SO - 0009097,2017-01-01,CLINIQUE Ltd,Distributor,Product 9,10,174.20000000000002,1742.0000000000002,130.65,CT,New Haven County,Connecticut,Northeast,41.53815,-72.80704,710415.405,1306.5,435.5000000000002,25.00000000000001,2017-01,1
46373,SO - 0001333,2017-01-01,Wordpedia Ltd,Wholesale,Product 11,6,1139.0,6834.0,489.77,CA,San Mateo County,California,West,37.48522,-122.23635,1230458.484,2938.62,3895.38,57.00000000000001,2017-01,1
46374,SO - 0002930,2017-01-01,Linklinks Ltd,Distributor,Product 18,6,2512.5,15075.0,1582.875,FL,Palm Beach County,Florida,South,26.82339,-80.13865,2309499.045,9497.25,5577.75,37.0,2017-01,1
46375,SO - 0003538,2017-01-01,Aimbo Corp,Wholesale,Product 4,11,1051.9,11570.900000000001,831.0010000000001,MO,St. Charles County,Missouri,Midwest,38.78394,-90.48123,2885560.824,9141.011,2429.889000000001,21.000000000000007,2017-01,1
46376,SO - 0004653,2017-01-01,Pixoboo Corp,Wholesale,Product 1,9,1232.8,11095.199999999999,788.992,WA,Benton County,Washington,West,46.28569,-119.28446,3016489.209,7100.928,3994.271999999999,35.99999999999999,2017-01,1
46377,SO - 0004702,2017-01-01,Kaymbo Company,Distributor,Product 26,11,2519.2000000000003,27711.200000000004,1309.9840000000002,CA,Alameda County,California,West,37.87159,-122.27275,5685138.2700000005,14409.824000000002,13301.376000000002,48.0,2017-01,1
46378,SO - 0005293,2017-01-01,Liberty Group,Wholesale,Product 3,10,1125.6000000000001,11256.000000000002,540.288,OK,Cleveland County,Oklahoma,South,35.22257,-97.43948,2642352.432,5402.88,5853.120000000002,52.0,2017-01,1
46379,SO - 0005571,2017-01-01,Chatterbri Ltd,Wholesale,Product 26,9,1112.2,10009.800000000001,556.1,CA,Kern County,California,West,35.37329,-119.01871,5685138.2700000005,5004.900000000001,5004.900000000001,50.0,2017-01,1
46380,SO - 0007215,2017-01-01,SHISEIDO Ltd,Export,Product 18,6,1105.5,6633.0,840.1800000000001,IN,Vanderburgh County,Indiana,Midwest,37.97476,-87.55585,2309499.045,5041.08,1591.92,24.000000000000004,2017-01,1
46381,SO - 0009517,2017-01-01,Blogspan Ltd,Wholesale,Product 5,12,2659.9,31918.800000000003,2207.717,MN,Olmsted County,Minnesota,Midwest,44.02163,-92.4699,3925424.5420000004,26492.604,5426.196000000004,17.00000000000001,2017-01,1
46382,SO - 0009687,2017-01-01,Skajo Ltd,Distributor,Product 17,9,998.3000000000001,8984.7,469.201,WI,Waukesha County,Wisconsin,Midwest,43.01168,-88.23148,2119616.824,4222.809,4761.8910000000005,53.0,2017-01,1
46383,SO - 0001822,2017-01-01,Livepath Corp,Distributor,Product 18,8,1031.8,8254.4,866.7119999999999,TX,Rockwall County/Dallas County,Texas,South,32.91592,-96.54867,2309499.045,6933.695999999999,1320.7040000000006,16.000000000000007,2017-01,1
46384,SO - 0003716,2017-01-01,Realbuzz Ltd,Wholesale,Product 14,5,5728.5,28642.5,3437.1,OH,Cuyahoga County,Ohio,Midwest,41.40477,-81.72291,4028698.4090000005,17185.5,11457.0,40.0,2017-01,1
46385,SO - 0004300,2017-01-01,MEIJER Corp,Wholesale,Product 28,9,2251.2000000000003,20260.800000000003,1868.496,CA,Orange County,California,West,33.74557,-117.86783,1003867.767,16816.464,3444.336000000003,17.00000000000001,2017-01,1
46386,SO - 0006401,2017-01-01,Aldi Ltd,Export,Product 27,12,1078.7,12944.400000000001,776.664,CA,Stanislaus County,California,West,37.6391,-120.99688,964940.2310000001,9319.968,3624.4320000000007,28.000000000000004,2017-01,1
46387,SO - 0006761,2017-01-01,Twimbo Company,Distributor,Product 4,10,2613.0,26130.0,1829.1,GA,Peach County/Houston County,Georgia,South,32.5971,-83.65394,2885560.824,18291.0,7839.0,30.0,2017-01,1
46388,SO - 0007043,2017-01-01,Army Group,Distributor,Product 25,10,1132.3,11323.0,826.579,CA,Orange County,California,West,33.60002,-117.672,5342315.484,8265.789999999999,3057.210000000001,27.000000000000007,2017-01,1
